Assignment Name,Assignment ID,Remediation Assignment Topic 1,Remediation Assignment Topic 2,,
6.1 Substitution (Antidifferentiation),5eaedbf55adf0d0004853c34,5eaedbef5adf0d0004853b87,5ee3cb2731a415002e1cfd59,5eaedbf35adf0d0004853bf5,
6.2 Integration by Parts,5eaedbf55adf0d0004853c3c,5ec7e70fb24c8d060f948f8d,5ee3956b2b78e855e316ef06,5ee3cb2731a415002e1cfd59,5eaedbf35adf0d0004853bf5
6.3 Trigonometric Integrals,5eaedbf55adf0d0004853c45,5eaedaf45adf0d000485359c,5eaedaf55adf0d00048535a8,,
6.4 Trigonometric Substitution,5eaedbf65adf0d0004853c51,5eaedaf15adf0d000485357d,5eaedbf55adf0d0004853c45,,
6.5 Partial Fraction Decomposition,5eaedbf65adf0d0004853c5b,5eaedafa5adf0d000485361b,,,
6.6 Hyperbolic Functions,5eaedbf65adf0d0004853c66,5ec7e70fb24c8d060f948f8d,5ee7816f3b791269bccf755f,,
6.7 L’Hôpital’s Rule,5eaedbf75adf0d0004853c72,5eaedbec5adf0d0004853b32,5eaedbed5adf0d0004853b4c,,
6.8 Improper Integration,5eaedbf75adf0d0004853c7e,5eaedbed5adf0d0004853b4c,,,
7.1 Area Between Curves,5eaedbf75adf0d0004853c8d,5eaedbf35adf0d0004853bff,,,
7.2 Volume by Cross-Sectional Area; Disk and Washer Methods,5eaedbf85adf0d0004853c98,5eaedbf35adf0d0004853c0e,,,
7.3 The Shell Method,5eaedbf85adf0d0004853ca4,5eaedbf35adf0d0004853c0e,,,
7.4 Arc Length and Surface Area,5eaedbf85adf0d0004853cb0,5eaedbf35adf0d0004853c0e,5eaedbf55adf0d0004853c34,,
7.5 Work,5eaedbf85adf0d0004853cbb,5eaedbf35adf0d0004853c0e,,,
7.6 Fluid Forces,5eaedbf95adf0d0004853cc4,5eaedbf35adf0d0004853c0e,,,
8.1 Sequences,5eaedbf95adf0d0004853ccf,5eaedbed5adf0d0004853b4c,5eaedbf75adf0d0004853c72,,
8.2a Infinite Series,5eaedbf95adf0d0004853cda,5eaedbf95adf0d0004853ccf,,,
8.2b Geometric Series,5ee785532f83eb6a12f33376,5eaedbf95adf0d0004853cda,,,
8.3a The Integral Test,5ee7a0b8bfddff7ccf69c7dc,5eaedbf75adf0d0004853c7e,5eaedbf95adf0d0004853cda,,
8.3b Comparison Tests,5eaedbfa5adf0d0004853ce3,5eaedbf95adf0d0004853cda,5ee785532f83eb6a12f33376,5ee7a0b8bfddff7ccf69c7dc,
8.4 The Ratio and Root Tests,5eaedbfa5adf0d0004853cee,5eaedbfa5adf0d0004853ce3,,,
8.5a Alternating Series,5ee7a1debfddff7d7f69c8a3,5eaedbf95adf0d0004853cda,,,
8.5b Absolute Convergence,5eaedbfb5adf0d0004853cfb,5ee7a1debfddff7d7f69c8a3,,,
8.6 Power Series,5eaedbfb5adf0d0004853d02,5eaedbfa5adf0d0004853cee,,,
8.7 Taylor Polynomials,5eaedbfc5adf0d0004853d0c,5ec7e70fb24c8d060f948f8d,5ee3956b2b78e855e316ef06,,
8.8 Taylor Series,5eaedbfc5adf0d0004853d14,5eaedbfc5adf0d0004853d0c,,,
9.1 Conic Sections,5ee517ef949fd1004c62bef7,5eaedd3f5adf0d0004854501,5eaedae65adf0d000485348d,5ee004924b7e3e0047065cea,5ee0ce2d978eb06dd364bdca
9.2 Parametric Equations,5eaedbfd5adf0d0004853d2b,5ee003e74b7e3e002c065f09,5ee00650978eb0002d64c980,5eaedaf45adf0d000485359c,
9.3 Calculus and Parametric Equations,5eaedbfd5adf0d0004853d38,5eaedbfd5adf0d0004853d2b,,,
9.4 Introduction to Polar Coordinates,5eaedbfe5adf0d0004853d42,5ee0e1094b7e3e6f580651de,5eaedaf05adf0d000485356d,,
9.5 Calculus and Polar Functions,5eaedbfe5adf0d0004853d4b,5eaedaf75adf0d00048535dd,5eaedbf55adf0d0004853c45,,
10.1 Vectors,5eaedbfe5adf0d0004853d60,5ee0ec366864486e736c410e,,,
10.2 The Dot Product,5eaedbff5adf0d0004853d6a,5ee0ec366864486e736c410e,,,
10.3 The Cross Product,5eaedbff5adf0d0004853d72,5eaedaf95adf0d00048535fe,5ee0f2784b7e3e032c064ffa,,
10.4 Lines,5eaedbff5adf0d0004853d7c,5ee0ec366864486e736c410e,5eaedbff5adf0d0004853d6a,5eaedbff5adf0d0004853d72,
10.5 Planes,5eaedc005adf0d0004853d85,5eaedbff5adf0d0004853d6a,5eaedbff5adf0d0004853d72,5eaedbff5adf0d0004853d7c,
11.1 Vector-Valued Functions,5eaedc005adf0d0004853d8f,5eaedbfd5adf0d0004853d2b,,,
11.2 Calculus and Vector-Valued Functions,5eaedc005adf0d0004853d9c,5eaedbfd5adf0d0004853d38,,,
11.3 The Calculus of Motion,5eaedc015adf0d0004853da3,5eaedc005adf0d0004853d9c,,,
11.4 Unit Tangent and Normal Vectors,5eaedc015adf0d0004853daf,5eaedc005adf0d0004853d9c,,,
11.5 The Arc Length Parameter and Curvature,5eaedc015adf0d0004853dba,5eaedbf85adf0d0004853cb0,5eaedbff5adf0d0004853d6a,5eaedbff5adf0d0004853d72,5eaedc005adf0d0004853d9c
12.1 Multivariable Functions,5eaedc025adf0d0004853dc3,5eaedbfd5adf0d0004853d2b,5eaedc005adf0d0004853d8f,,
12.2 Quadric Surfaces,5eaedbfe5adf0d0004853d55,5eaedc025adf0d0004853dc3,,,
12.3 Limits and Continuity of Multivariable Functions,5eaedc025adf0d0004853dcb,5eaedbec5adf0d0004853b32,5eaedbed5adf0d0004853b42,,
12.4 Partial Derivatives,5eaedc025adf0d0004853dd5,5eaedbee5adf0d0004853b7d,5ec7e70fb24c8d060f948f8d,5eaedbef5adf0d0004853b87,
12.5 Differentiability and the Total Differential,5eaedc035adf0d0004853dde,5eaedc025adf0d0004853dd5,5ee3cb2731a415002e1cfd59,,
12.6 The Multivariable Chain Rule,5eaedc035adf0d0004853deb,5eaedbef5adf0d0004853b87,5eaedc025adf0d0004853dd5,,
12.7 Directional Derivatives,5eaedc035adf0d0004853df6,5eaedbff5adf0d0004853d6a,5eaedc025adf0d0004853dd5,5eaedc035adf0d0004853deb,
"12.8 Tangent Lines, Normal Lines, and Tangent Planes",5eaedc045adf0d0004853e03,5eaedc005adf0d0004853d85,5eaedc025adf0d0004853dd5,5eaedc035adf0d0004853df6,
12.9 Extreme Values,5eaedc045adf0d0004853e0c,5eaedbf05adf0d0004853ba5,5ee3a252458014649f9a6d7e,,
12.10 Lagrange Multipliers,5ecd97d133e2ee223efe3d86,5eaedc035adf0d0004853df6,,,
13.1 Iterated Integrals and Area,5eaedc045adf0d0004853e18,5eaedbf35adf0d0004853c0e,5ee3de917c92d8002d595438,,
13.2 Double Integration and Volume,5eaedc045adf0d0004853e25,5eaedbf35adf0d0004853c0e,5eaedbf75adf0d0004853c8d,,
13.3 Double Integration with Polar Coordinates,5eaedc055adf0d0004853e31,5eaedbfe5adf0d0004853d4b,5eaedc045adf0d0004853e25,,
13.4 Center of Mass,5eaedc055adf0d0004853e3b,5eaedc045adf0d0004853e25,,,
13.5 Surface Area,5eaedc055adf0d0004853e47,5eaedc045adf0d0004853e25,,,
13.6 Volume Between Surfaces and Triple Integration,5eaedc065adf0d0004853e51,5eaedbf75adf0d0004853c8d,5eaedc045adf0d0004853e25,,
13.7a Triple Integrals in Cylindrical Coordinates,5ee7a3fc2f83eb7d59f336cd,5eaedc055adf0d0004853e31,5eaedc065adf0d0004853e51,,
13.7b Triple Integration in Spherical Coordinates,5eaedc065adf0d0004853e58,5eaedc055adf0d0004853e31,5eaedc065adf0d0004853e51,5ee7a3fc2f83eb7d59f336cd,
14.1 Line Integrals,5eaedc065adf0d0004853e61,5eaedbfd5adf0d0004853d2b,5eaedbff5adf0d0004853d6a,,
14.2 Vector Fields,5eaedc065adf0d0004853e68,5eaedbfe5adf0d0004853d60,,,
14.3 Line Integrals over Vector Fields,5eaedc075adf0d0004853e71,5eaedc065adf0d0004853e61,5eaedc065adf0d0004853e68,,
"14.4 Flow, Flux, Green's Theorem",5eaedc075adf0d0004853e79,5eaedc065adf0d0004853e61,,,
14.5 Parametrized Surfaces and Surface Area,5eaedc075adf0d0004853e80,5eaedbfd5adf0d0004853d2b,5eaedc045adf0d0004853e03,5eaedc045adf0d0004853e25,
14.6 Surface Integrals,5eaedc085adf0d0004853e8b,5eaedc045adf0d0004853e03,5eaedc045adf0d0004853e25,,
14.7 Stokes' Theorem,5eaedc085adf0d0004853e92,5eaedc065adf0d0004853e61,,,
14.8 The Divergence Theorem,5eaedc095adf0d0004853e9d,5eaedc065adf0d0004853e51,5ee7a3fc2f83eb7d59f336cd,5eaedc065adf0d0004853e58,5eaedc085adf0d0004853e8b
